2019-04-14 16:08:01.386044|INFO    |VirtualServerBase|1  |channel 'Public Gaming Channel'(id:19) created as sub channel of 'placeholder public'(id:2) by 'J. Downs'(id:2)
2019-04-14 16:08:35.895618|INFO    |VirtualServerBase|1  |channel 'Public General Channel'(id:18) edited by 'J. Downs'(id:2)
2019-04-14 16:09:36.470133|INFO    |VirtualServerBase|1  |channel 'placeholder Recruitment Channels'(id:20) created as sub channel of 'Landing'(id:1) by 'J. Downs'(id:2)
2019-04-14 16:09:49.435112|INFO    |VirtualServerBase|1  |channel 'Recruitment Channel 1'(id:21) created as sub channel of 'placeholder Recruitment Channels'(id:20) by 'J. Downs'(id:2)
2019-04-14 16:10:05.560483|INFO    |VirtualServerBase|1  |channel 'Recruitment Channel 2'(id:22) created as sub channel of 'placeholder Recruitment Channels'(id:20) by 'J. Downs'(id:2)
2019-04-14 16:11:08.710624|INFO    |VirtualServerBase|1  |channel 'Information Channels'(id:23) created as sub channel of 'Landing'(id:1) by 'J. Downs'(id:2)
2019-04-14 16:11:14.079093|INFO    |VirtualServerBase|1  |channel 'Information Channels'(id:23) edited by 'J. Downs'(id:2)
2019-04-14 16:12:01.620200|INFO    |VirtualServerBase|1  |channel 'AFK Channel'(id:24) created by 'J. Downs'(id:2)
2019-04-14 16:12:11.721417|INFO    |VirtualServerBase|1  |channel '[spacer0]'(id:25) created by 'J. Downs'(id:2)
2019-04-14 16:13:36.380970|INFO    |VirtualServerBase|1  |channel '[spacer1]'(id:28) created by 'J. Downs'(id:2)
2019-04-14 16:13:41.902523|INFO    |VirtualServerBase|1  |channel '[spacer1]'(id:28) edited by 'J. Downs'(id:2)
2019-04-14 16:15:04.288310|INFO    |VirtualServerBase|1  |channel '[spacer2]'(id:29) created by 'J. Downs'(id:2)
2019-04-14 16:16:24.025823|INFO    |VirtualServerBase|1  |channel '[cspacer4]'(id:30) created as sub channel of 'placeholder barracks'(id:4) by 'J. Downs'(id:2)
